phase,flux,flux_err
2.6107661422224966e-05,0.9596928313144547,0.012876690472775457
0.00011617026647922261,0.9397114762837965,0.012702409194513022
0.005790291754332267,1.0310597911212973,0.013502864588998346
0.007419829769031982,1.0570219617404417,0.013732041944147382
0.007506037602436055,0.778409577342,0.01131335762235625
0.011334225430173515,0.9766615507553978,0.01302505607419724
0.011345789868306267,0.7798371686830889,0.01132550509772
0.013907318528508173,0.9484533410616738,0.012778602638393205
0.014737506826423743,0.8990497626890712,0.012349202623510159
0.015196931407203337,0.9118830239193726,0.012460470790903152
0.018239787065323296,0.8351620867170055,0.011798323441919265
0.022748526004345473,0.8324156769822629,0.011774757333529185
0.023207074482743038,0.8850247391667697,0.0122278358358176
0.023224596407018985,0.8206907352886336,0.011674260013564487
0.029217967213113254,0.9151600444703647,0.012488907527670685
0.029871184115154603,0.8141255240489154,0.011618070288479953
0.03466132507068608,0.8175767464313118,0.011647602870205083
0.035392689770466314,0.8142714554685248,0.011619314725890171
0.03732973740003601,0.8352853236844613,0.011799383709048603
0.03798295436582171,0.8093456013313669,0.01157719288248431
0.04064330659544307,0.8851678074322898,0.012229074538859342
0.04149434593382013,0.7854439715327455,0.011373234535021341
0.04211777564552618,0.8967184195799858,0.012329013613205616
0.045300456131256946,0.8493841855791846,0.011920513791180424
0.04811500120729059,0.8350095657656381,0.01179701898986526
0.05068248738789186,0.8169607855776237,0.011642327301208044
0.05069720573794588,0.8189624900224881,0.011659461523664122
0.05071735590546307,0.9205212334709062,0.012535468297101183
0.05241820815148699,0.8288363141365046,0.01174406076403444
0.05491578176982989,0.8433209527519387,0.01186839239426421
0.058552455112109617,0.8322109977434364,0.011773001404933045
0.060428351227026694,0.8078171903809543,0.011564122515396454
0.061866374739993124,0.8700240355482676,0.01209829600168939
0.062288127217311536,0.8555780826865519,0.011973812914503989
0.06651598987102322,0.9142842759284987,0.012481305647100555
0.0690491330285481,0.7983704438489923,0.011483443708348948
0.07284070001844867,0.8574680182256291,0.01199008227057112
0.07789174232352805,0.8838113423019975,0.012217351334993336
0.08058678786922648,0.7794454581316154,0.011322172454599582
0.0845668907266179,0.8608488244349959,0.012019199520239684
0.08638461405728795,0.9254617861818676,0.012578406939609396
0.0879487953384747,0.9124245682808114,0.012465167435326795
0.0884360797867352,0.8091522586294135,0.011575534983273031
0.09087197629547905,0.9180906632214316,0.0125143537096844
0.09391413103289313,0.8289702992881234,0.011745211234142757
0.10264757874918747,0.808571092630483,0.01157057094486356
0.10486865667076603,0.8925065473363417,0.012292551987383321
0.10546983345976164,0.9432608528151919,0.012733336949100157
0.10634978403046998,0.9518936084578838,0.012808607915362376
0.11051036255839544,0.9816412747376932,0.013068659009559407
0.11145496896417995,0.9359814695995492,0.01266993020145279
0.11277717257117832,0.905725198843939,0.012407056865001681
0.11855625035111661,0.8570132387052903,0.011986165086831101
0.12103472508384217,0.9194788219642671,0.012526412952821019
0.1261446409493379,1.0278912538443197,0.013474943780399434
0.1277645419049655,0.910690341768956,0.012450121176707876
0.12976466845973447,0.8857402302284054,0.012234022017753223
0.13700927911268448,1.036941487523543,0.013554719890435699
0.13749919177869374,0.9682905440793528,0.012951822947674678
0.13962880523614196,0.9715586231317941,0.012980402441588315
0.13978685295343327,0.9584191677519627,0.01286557049461485
0.14111974494410442,0.9710228520987747,0.012975720594161676
0.14279851956337014,0.9788636712074057,0.013044335781755699
0.1450753170996409,0.9021855164831868,0.012376370904653046
0.14559449139851857,0.9433735397088144,0.012734316828678328
0.151106885593247,1.0630480391438997,0.013785336833748127
0.15374148069691482,1.0026551081823478,0.013252961634498017
0.15414308291148565,0.9717395763380486,0.012981988945204819
0.15509907855590663,1.0265162074263907,0.013462829716514038
0.15682673925480164,0.9685423400117827,0.012954023700795342
0.16165087269970915,1.0216821615942882,0.013420259719660653
0.1620188328788772,0.9934467897988596,0.013172137302311846
0.16592481801058384,1.0011309567399218,0.013239574787412223
0.1669030664780359,1.0094381885967851,0.013312557139299179
0.16852051442694485,1.0095517146383062,0.013313557242526008
0.16897608413761775,1.014016660810542,0.013352810344454976
0.17041831293563997,1.0169601394312708,0.013378701313534195
0.1734222699133532,1.0051558642242595,0.013274925787484706
0.17358680064399407,0.9708761905796163,0.012974433658046028
0.17963431416872805,0.9785781866535792,0.013041831635916901
0.18069719348951613,0.9974408960286426,0.0132071852867315
0.18143241292514853,1.0373750791601608,0.013558542258705493
0.18159694378327812,0.9518936084578838,0.012808607915362376
0.1876453333466498,0.9984542518520082,0.013216079455457727
0.1888089636764389,1.0137744247117693,0.013350681415940466
0.19077982855840878,1.0495945590970701,0.013666400095083598
0.19868922062494743,1.1030655740000015,0.014140237308243899
0.1989874436378077,1.088197216616023,0.014008181495686967
0.20115683181552593,1.019403430479245,0.013400204176467445
0.20145102478949695,0.9488149755652028,0.01278175690518563
0.20697025254003903,1.0525599734696542,0.013692603703316894
0.209761668674384,1.076318414861032,0.013902843371837137
0.2105364876605973,0.99943522198844,0.013224686694125739
0.210938615628317,1.0425214772179046,0.013603951251989996
0.21442495092777666,0.9772760388465644,0.013030433567551729
0.21469654062351778,1.0066614802946603,0.013288156097736488
0.21939486665572444,1.091474944704758,0.014037273356995443
0.22012588096128008,1.1037769759614946,0.014146562829397389
0.23271450018961853,1.0779192075639459,0.013917034705516827
0.23616859514255922,1.0514363099834239,0.013682675933391543
0.23846729509996412,1.0682373797724825,0.013831266160434742
0.23873380340794836,1.0701493960796404,0.01384819506833777
0.24062301621751953,1.1038079831900265,0.014146840981262409
